m,repetitions,omega2,omega_rmse,excess_mse,excess_mse_mcse,total_mse,total_rmse,floor_share,excess_to_floor,finite_atlas_mse,finite_atlas_mse_mcse,constraint_rate
10,2000,80.64,8.97997772825746,19.94029302268951,0.48103145234668676,100.58029302268952,10.028972680324218,0.8017475151102288,0.247275459110733,100.65303490240397,0.4927842038221295,0.153
20,2000,80.64,8.97997772825746,9.987756944425742,0.22876454209786443,90.62775694442574,9.519861183043886,0.8897936208379252,0.12385611290210494,90.66285030009176,0.24615661560766675,0.0385
40,2000,80.64,8.97997772825746,5.0131003238476675,0.11902501782946695,85.65310032384767,9.254896019072698,0.9414720505750109,0.06216642266676175,85.68333286818859,0.14787531621202335,0.004
80,2000,80.64,8.97997772825746,2.331317473633567,0.05313039401997867,82.97131747363356,9.108859284983689,0.9719021278121274,0.02891018692501943,82.96705903147766,0.10329434695473917,0.0
160,2000,80.64,8.97997772825746,1.129189504724705,0.025194584267160335,81.76918950472471,9.042631779782074,0.9861905258990067,0.014002846040732948,81.746001366615,0.09531066328396323,0.0
320,2000,80.64,8.97997772825746,0.5793905900545502,0.013601949782423387,81.21939059005454,9.012180124146129,0.9928663514236526,0.007184903150478053,81.25535012895777,0.10063454451193217,0.0
640,2000,80.64,8.97997772825746,0.2826103963051938,0.006096391899484824,80.92261039630519,8.995699550135342,0.9965076460717079,0.0035045932081497247,80.93269009770671,0.13639712923433223,0.0
