scenario,scenario_label,estimand,estimand_label,estimator,procedure_label,n_attempts,n_returned,n_stable,n_unstable,n_unsupported,n_failure,mean_target,bias,bias_mcse,rmse,stable_bias,stable_bias_mcse,stable_rmse
akm_dgp,AKM,q_f,$Q_F$,kss_he,KSS-HE,100,100,100,0,0,0,1.0,0.003231961864527699,0.0048631902540175196,0.04849594728143877,0.003231961864527699,0.0048631902540175196,0.04849594728143877
akm_dgp,AKM,q_f,$Q_F$,blm_estimated,BLM,100,43,43,0,57,0,1.0,0.387479806038854,0.054401787971726234,0.523872017326537,0.387479806038854,0.054401787971726234,0.523872017326537
akm_dgp,AKM,q_f,$Q_F$,project_plugin_bic,Project plug-in,100,100,100,0,0,0,1.0,-0.010895384109063789,0.004936516800981073,0.050311628967809344,-0.010895384109063789,0.004936516800981073,0.050311628967809344
akm_dgp,AKM,h_f,$H_F$,kss_he,KSS-HE,100,100,100,0,0,0,2.340318393557327e-31,-2.340318393557327e-31,1.1957077358327547e-32,2.625359023611388e-31,-2.340318393557327e-31,1.1957077358327547e-32,2.625359023611388e-31
akm_dgp,AKM,h_f,$H_F$,blm_estimated,BLM,100,43,43,0,57,0,2.3362570088661374e-31,0.013519964064441956,0.004234984640646793,0.030595153445887476,0.013519964064441956,0.004234984640646793,0.030595153445887476
akm_dgp,AKM,h_f,$H_F$,project_plugin_bic,Project plug-in,100,100,100,0,0,0,2.340318393557327e-31,3.8088283376713e-31,5.401594490672393e-32,6.587307804945328e-31,3.8088283376713e-31,5.401594490672393e-32,6.587307804945328e-31
akm_dgp,AKM,rho_h,$\rho_H$,kss_he,KSS-HE,100,100,100,0,0,0,1.1701591967786634e-31,-1.1701591967786634e-31,5.978538679163772e-33,1.3126795118056937e-31,-1.1701591967786634e-31,5.978538679163772e-33,1.3126795118056937e-31
akm_dgp,AKM,rho_h,$\rho_H$,blm_estimated,BLM,100,43,43,0,57,0,1.1681285044330687e-31,0.004813543462298495,0.0012465049204150374,0.009403655159640336,0.004813543462298495,0.0012465049204150374,0.009403655159640336
akm_dgp,AKM,rho_h,$\rho_H$,project_plugin_bic,Project plug-in,100,100,100,0,0,0,1.1701591967786634e-31,1.9352027883761066e-31,2.698322180084392e-32,3.3095532921829026e-31,1.9352027883761066e-31,2.698322180084392e-32,3.3095532921829026e-31
akm_dgp,AKM,c_assign,$C_{\mathrm{assign}}$,kss_he,KSS-HE,100,100,100,0,0,0,0.41328844142345345,-0.00014339191558333298,0.0031602263322358082,0.031444181939846313,-0.00014339191558333298,0.0031602263322358082,0.031444181939846313
