scenario,scenario_label,rho_bs_target,rho_bs_bias,rho_bs_bias_mcse,rho_bs_rmse,c_bs_target,c_bs_bias,c_bs_bias_mcse,c_bs_rmse
akm_dgp,AKM,0.41422107645857636,-0.0023923470408101044,0.00014044014072038866,0.0027705494478719485,0.8284403676863942,-0.009148512194838735,0.0004274924467273647,0.010088979372959337
crippa_tukey_dgp,Crippa/Tukey,0.5232742306689396,-0.0032082489909506006,0.00017147955107991666,0.003633728112469885,1.443589708607617,-0.02781891294321156,0.0010174875901078325,0.029603795971940905
blm_grouped_dgp,BLM types,0.44475902003722306,-0.0017257548749155405,0.0001633761792475422,0.002370804864787849,1.0049616094979739,-0.006421994277353036,0.0005854991393454191,0.008670647350319558
low_rank_factor_dgp,Low-rank factors,0.40734201091618133,-0.002208312296044222,0.00016615337410777123,0.0027585740203721933,0.907431480683598,-0.01153547467126081,0.0005610611518678744,0.012815277909147934
gklp_perfect_information_dgp,GKLP,0.4134774606985286,-0.002970140974771829,0.0001636264527945244,0.003387082136496885,1.0073644415352492,-0.01753879595379632,0.0006305787049379149,0.018627256489292747
