scenario,scenario_label,q_f,h_f,rho_h,c_assign
akm_dgp,AKM,1.0000000000000018,4.981164924063806e-29,2.4905824620318906e-29,0.41420827924058473
crippa_tukey_dgp,Crippa/Tukey,1.562500000190914,1.124999999928935,0.35999999993327253,0.6389941149656291
blm_grouped_dgp,BLM types,2.0000000004283587,2.0000000000000058,0.49999999989291166,0.37284556044170103
low_rank_factor_dgp,Low-rank factors,2.2499999998599693,2.499999999971374,0.5555555555837697,0.47240841421828716
gklp_perfect_information_dgp,GKLP,2.03127971020092,1.9999999997587727,0.49230392691035474,0.5922742124502365
