scenario,scenario_label,estimand,estimand_label,estimator,procedure_label,n_attempts,n_returned,n_stable,n_unstable,n_unsupported,n_failure,mean_target,bias,bias_mcse,rmse,stable_bias,stable_bias_mcse,stable_rmse
akm_dgp,AKM,q_f,$Q_F$,kss_he,KSS-HE,100,100,100,0,0,0,1.0000000000000018,7.70868567765981e-05,0.00025116908109263373,0.0025002894244232163,7.70868567765981e-05,0.00025116908109263373,0.0025002894244232163
akm_dgp,AKM,q_f,$Q_F$,blm_estimated,BLM,100,100,100,0,0,0,1.0000000000000018,0.13683691529125977,0.04371737250993282,0.4559978055259458,0.13683691529125977,0.04371737250993282,0.4559978055259458
akm_dgp,AKM,q_f,$Q_F$,project_plugin_bic,Project plug-in,100,100,100,0,0,0,1.0000000000000018,0.00089716056183484,0.0002512873321567701,0.0026563667067361066,0.00089716056183484,0.0002512873321567701,0.0026563667067361066
akm_dgp,AKM,h_f,$H_F$,kss_he,KSS-HE,100,100,100,0,0,0,4.981164924063806e-29,-4.981164924063806e-29,5.144066061252686e-30,7.142044909326039e-29,-4.981164924063806e-29,5.144066061252686e-30,7.142044909326039e-29
akm_dgp,AKM,h_f,$H_F$,blm_estimated,BLM,100,100,100,0,0,0,4.981164924063806e-29,0.023778428119749617,0.01483529110779776,0.14951225370150542,0.023778428119749617,0.01483529110779776,0.14951225370150542
akm_dgp,AKM,h_f,$H_F$,project_plugin_bic,Project plug-in,100,100,100,0,0,0,4.981164924063806e-29,-3.1413352651787342e-30,7.174312629927255e-30,7.145259545131791e-29,-3.1413352651787342e-30,7.174312629927255e-30,7.145259545131791e-29
akm_dgp,AKM,rho_h,$\rho_H$,kss_he,KSS-HE,100,100,100,0,0,0,2.4905824620318906e-29,-2.4905824620318906e-29,2.572033030626315e-30,3.5710224546629905e-29,-2.4905824620318906e-29,2.572033030626315e-30,3.5710224546629905e-29
akm_dgp,AKM,rho_h,$\rho_H$,blm_estimated,BLM,100,100,100,0,0,0,2.4905824620318906e-29,0.004645281608696194,0.0017862866987016592,0.018370352148230035,0.004645281608696194,0.0017862866987016592,0.018370352148230035
akm_dgp,AKM,rho_h,$\rho_H$,project_plugin_bic,Project plug-in,100,100,100,0,0,0,2.4905824620318906e-29,-1.5944858785304467e-30,3.5848274476172554e-30,3.570420395845071e-29,-1.5944858785304467e-30,3.5848274476172554e-30,3.570420395845071e-29
akm_dgp,AKM,c_assign,$C^w_{\mathrm{assign}}$,kss_he,KSS-HE,100,100,100,0,0,0,0.41420827924058473,-0.00011309469589652011,0.00014569320042794083,0.0014540339633868956,-0.00011309469589652011,0.00014569320042794083,0.0014540339633868956
akm_dgp,AKM,c_assign,$C^w_{\mathrm{assign}}$,blm_estimated,BLM,100,100,100,0,0,0,0.41420827924058473,-0.1375946027154124,0.005206910776018859,0.14702501406061788,-0.1375946027154124,0.005206910776018859,0.14702501406061788
akm_dgp,AKM,c_assign,$C^w_{\mathrm{assign}}$,project_plugin_bic,Project plug-in,100,100,100,0,0,0,0.41420827924058473,-0.00015101210342018944,0.00014534362456369504,0.0014540140323632753,-0.00015101210342018944,0.00014534362456369504,0.0014540140323632753
crippa_tukey_dgp,Crippa/Tukey,q_f,$Q_F$,kss_he,KSS-HE,100,100,100,0,0,0,1.562500000190914,-0.36116043388218527,0.0021973675236411456,0.3618216038068065,-0.36116043388218527,0.0021973675236411456,0.3618216038068065
crippa_tukey_dgp,Crippa/Tukey,q_f,$Q_F$,blm_estimated,BLM,100,100,100,0,0,0,1.562500000190914,0.10539637543850887,0.03482569511336654,0.3621856857032898,0.10539637543850887,0.03482569511336654,0.3621856857032898
crippa_tukey_dgp,Crippa/Tukey,q_f,$Q_F$,project_plugin_bic,Project plug-in,100,100,39,61,0,0,1.562500000190914,25.884385928919347,9.104519237891306,94.21431005785371,0.010901969398752528,0.0006254761266404543,0.011563706646280338
crippa_tukey_dgp,Crippa/Tukey,h_f,$H_F$,kss_he,KSS-HE,100,100,100,0,0,0,1.124999999928935,-1.124999999928935,1.2733597427337847e-11,1.124999999928935,-1.124999999928935,1.2733597427337847e-11,1.124999999928935
crippa_tukey_dgp,Crippa/Tukey,h_f,$H_F$,blm_estimated,BLM,100,100,100,0,0,0,1.124999999928935,-0.8320849162184203,0.015897910699628013,0.8469869660714601,-0.8320849162184203,0.015897910699628013,0.8469869660714601
crippa_tukey_dgp,Crippa/Tukey,h_f,$H_F$,project_plugin_bic,Project plug-in,100,100,39,61,0,0,1.124999999928935,11.60977264877405,4.470390870639468,45.970010659663714,0.01953825737544946,0.0005024812617149768,0.019782265369960608
crippa_tukey_dgp,Crippa/Tukey,rho_h,$\rho_H$,kss_he,KSS-HE,100,100,100,0,0,0,0.35999999993327253,-0.35999999993327253,1.205902822066369e-10,0.3599999999332726,-0.35999999993327253,1.205902822066369e-10,0.3599999999332726
crippa_tukey_dgp,Crippa/Tukey,rho_h,$\rho_H$,blm_estimated,BLM,100,100,100,0,0,0,0.35999999993327253,-0.27467631452185937,0.001306282175857971,0.27498365169312317,-0.27467631452185937,0.001306282175857971,0.27498365169312317
crippa_tukey_dgp,Crippa/Tukey,rho_h,$\rho_H$,project_plugin_bic,Project plug-in,100,100,39,61,0,0,0.35999999993327253,-0.011994993418790168,0.005037905118393139,0.051541712984029424,0.0037149804981124034,0.00011646440522134762,0.003783716492197962
crippa_tukey_dgp,Crippa/Tukey,c_assign,$C^w_{\mathrm{assign}}$,kss_he,KSS-HE,100,100,100,0,0,0,0.6389941149656291,-0.023387908933309665,0.0012918228639970818,0.026687189982375487,-0.023387908933309665,0.0012918228639970818,0.026687189982375487
crippa_tukey_dgp,Crippa/Tukey,c_assign,$C^w_{\mathrm{assign}}$,blm_estimated,BLM,100,100,100,0,0,0,0.6389941149656291,-0.12499075048233024,0.003735986469520264,0.13040126380246297,-0.12499075048233024,0.003735986469520264,0.13040126380246297
crippa_tukey_dgp,Crippa/Tukey,c_assign,$C^w_{\mathrm{assign}}$,project_plugin_bic,Project plug-in,100,100,39,61,0,0,0.6389941149656291,-12.942397877861495,4.553206435601373,47.11626957329971,-0.004193480480774039,0.0007064960887188571,0.0060458642087698675
blm_grouped_dgp,BLM types,q_f,$Q_F$,kss_he,KSS-HE,100,100,100,0,0,0,2.0000000004283587,-0.77837060110592,0.06882814034833618,1.0367520292447983,-0.77837060110592,0.06882814034833618,1.0367520292447983
blm_grouped_dgp,BLM types,q_f,$Q_F$,blm_estimated,BLM,100,100,100,0,0,0,2.0000000004283587,0.005737697235970268,0.009521071310704562,0.09490706117576439,0.005737697235970268,0.009521071310704562,0.09490706117576439
blm_grouped_dgp,BLM types,q_f,$Q_F$,project_plugin_bic,Project plug-in,100,100,85,15,0,0,2.0000000004283587,10.269593760018909,6.260719814698662,63.13421578837979,0.01461162744736145,0.0017776400737924886,0.021884698127790925
blm_grouped_dgp,BLM types,h_f,$H_F$,kss_he,KSS-HE,100,100,100,0,0,0,2.0000000000000058,-2.0000000000000058,4.498009415012885e-14,2.0000000000000058,-2.0000000000000058,4.498009415012885e-14,2.0000000000000058
blm_grouped_dgp,BLM types,h_f,$H_F$,blm_estimated,BLM,100,100,100,0,0,0,2.0000000000000058,-0.014433692049540987,0.007079786068726349,0.07190650299726181,-0.014433692049540987,0.007079786068726349,0.07190650299726181
