scenario,scenario_label,estimator,procedure_label,estimand,native_target_type,native_target,project_target,target_gap,native_bias,native_rmse,project_bias,project_rmse
akm_dgp,AKM,kss_he,KSS-HE,q_f,native_akm,1.0000000000000007,1.0000000000000018,-1.1102230246251565e-15,7.708685677760175e-05,0.0025002894244226343,7.70868567765981e-05,0.0025002894244232163
akm_dgp,AKM,kss_he,KSS-HE,c_assign,native_akm,0.4142082792405855,0.41420827924058473,7.771561172376096e-16,-0.00011309469589734944,0.0014540339633874549,-0.00011309469589652011,0.0014540339633868956
akm_dgp,AKM,bs20,BS20,c_assign,native_bs20,0.8284403676863942,0.41420827924058473,0.41423208844580944,-0.009148512194838735,0.010088979372959337,0.40508357625097074,0.4051058786911115
akm_dgp,AKM,blm_estimated,BLM,q_f,blm_projection_project,1.0006886568828168,1.0000000000000018,0.000688656882815053,0.13614825840844483,0.4563734734189764,0.13683691529125977,0.4559978055259458
akm_dgp,AKM,blm_estimated,BLM,h_f,blm_projection_project,0.005554090267330208,4.981164924063806e-29,0.005554090267330208,0.018224337852419406,0.14871109426416387,0.023778428119749617,0.14951225370150542
akm_dgp,AKM,blm_estimated,BLM,rho_h,blm_projection_project,0.002776099875278038,2.4905824620318906e-29,0.002776099875278038,0.0018691817334181569,0.01786176379043045,0.004645281608696194,0.018370352148230035
akm_dgp,AKM,blm_estimated,BLM,c_assign,blm_projection_project,0.2604511828348981,0.41420827924058473,-0.15375709640568663,0.016162493690274095,0.05421066262549407,-0.1375946027154124,0.14702501406061788
crippa_tukey_dgp,Crippa/Tukey,kss_he,KSS-HE,q_f,native_akm,1.2010431015470397,1.562500000190914,-0.3614568986438742,0.0002964647616889704,0.005046173116104986,-0.36116043388218527,0.3618216038068065
crippa_tukey_dgp,Crippa/Tukey,kss_he,KSS-HE,c_assign,native_akm,0.6157091910764394,0.6389941149656291,-0.02328492388918968,-0.00010298504412014187,0.0027744811917029036,-0.023387908933309665,0.026687189982375487
crippa_tukey_dgp,Crippa/Tukey,bs20,BS20,c_assign,native_bs20,1.443589708607617,0.6389941149656291,0.804595593641988,-0.02781891294321156,0.029603795971940905,0.7767766806987767,0.7768482332725637
crippa_tukey_dgp,Crippa/Tukey,blm_estimated,BLM,q_f,blm_projection_project,1.3317060194567096,1.562500000190914,-0.23079398073420432,0.33619035617271315,0.48165754240799163,0.10539637543850887,0.3621856857032898
crippa_tukey_dgp,Crippa/Tukey,blm_estimated,BLM,h_f,blm_projection_project,0.5360160925596693,1.124999999928935,-0.5889839073692658,-0.2431010088491545,0.289664908939323,-0.8320849162184203,0.8469869660714601
crippa_tukey_dgp,Crippa/Tukey,blm_estimated,BLM,rho_h,blm_projection_project,0.20124345326317897,0.35999999993327253,-0.15875654667009356,-0.11591976785176569,0.11664021002226202,-0.27467631452185937,0.27498365169312317
crippa_tukey_dgp,Crippa/Tukey,blm_estimated,BLM,c_assign,blm_projection_project,0.3662154439600714,0.6389941149656291,-0.2727786710055577,0.14778792052322737,0.15183842901401923,-0.12499075048233024,0.13040126380246297
blm_grouped_dgp,BLM types,kss_he,KSS-HE,q_f,native_akm,1.2216846616737498,2.0000000004283587,-0.7783153387546089,-5.526235131075696e-05,0.004149867637611015,-0.77837060110592,1.0367520292447983
blm_grouped_dgp,BLM types,kss_he,KSS-HE,c_assign,native_akm,0.39982515399021723,0.37284556044170103,0.0269795935485162,-0.00021469804659101366,0.0017553214643813684,0.02676489550192522,0.1779899859983042
blm_grouped_dgp,BLM types,bs20,BS20,c_assign,native_bs20,1.0049616094979739,0.37284556044170103,0.6321160490562728,-0.006421994277353036,0.008670647350319558,0.6256940547789198,0.7315306045723656
blm_grouped_dgp,BLM types,blm_estimated,BLM,q_f,grouped_population_project,2.0000000004283676,2.0000000004283587,8.881784197001252e-15,0.005737697235961763,0.09490706117573298,0.005737697235970268,0.09490706117576439
blm_grouped_dgp,BLM types,blm_estimated,BLM,h_f,grouped_population_project,1.9999999999999978,2.0000000000000058,-7.993605777301127e-15,-0.014433692049533223,0.07190650299725511,-0.014433692049540987,0.07190650299726181
blm_grouped_dgp,BLM types,blm_estimated,BLM,rho_h,grouped_population_project,0.4999999998929078,0.49999999989291166,-3.885780586188048e-15,-0.004027735162889946,0.02500574041029047,-0.004027735162894012,0.025005740410295286
blm_grouped_dgp,BLM types,blm_estimated,BLM,c_assign,grouped_population_project,0.37284556044167794,0.37284556044170103,-2.3092638912203256e-14,-0.001262889209384268,0.021599671506695367,-0.0012628892094074984,0.021599671506740418
low_rank_factor_dgp,Low-rank factors,kss_he,KSS-HE,q_f,native_akm,1.1569083701816003,2.2499999998599693,-1.093091629678369,0.0006103854678119891,0.00580617302150481,-1.0924812442105571,1.0926229439799984
low_rank_factor_dgp,Low-rank factors,kss_he,KSS-HE,c_assign,native_akm,0.4437400186504089,0.47240841421828716,-0.028668395567878258,0.00014074144834444634,0.0022403395732424765,-0.028527654119533907,0.030008722231057054
low_rank_factor_dgp,Low-rank factors,bs20,BS20,c_assign,native_bs20,0.907431480683598,0.47240841421828716,0.43502306646531086,-0.01153547467126081,0.012815277909147934,0.4234875917940501,0.42355658832296844
low_rank_factor_dgp,Low-rank factors,blm_estimated,BLM,q_f,blm_projection_project,1.0165749812361022,2.2499999998599693,-1.233425018623867,0.2068724259568671,0.21108648289061271,-1.026552592667,1.0274349012886237
low_rank_factor_dgp,Low-rank factors,blm_estimated,BLM,h_f,blm_projection_project,0.02140049741822557,2.499999999971374,-2.4785995025531484,-0.01118345408647387,0.011831184177774474,-2.489782956639622,2.489785995784992
low_rank_factor_dgp,Low-rank factors,blm_estimated,BLM,rho_h,blm_projection_project,0.010524807988977435,0.5555555555837697,-0.5450307475947922,-0.006348885027365498,0.006560161292209266,-0.5513796326221577,0.5513818902785742
