scenario,scenario_label,unstable_rate,stable_n,akm_target_gap,kss_he_native_bias,kss_he_native_bias_mcse,q_f_unconditional_rmse,q_f_stable_rmse,q_f_stable_bias,q_f_stable_bias_mcse,h_f_unconditional_rmse,h_f_stable_rmse,h_f_stable_bias,h_f_stable_bias_mcse,c_assign_unconditional_rmse,c_assign_stable_rmse,c_assign_stable_bias,c_assign_stable_bias_mcse,rho_h_unconditional_rmse,rho_h_stable_rmse,rho_h_stable_bias,rho_h_stable_bias_mcse
rank1_independent,"Rank 1, independent",0.11,89,-1.0000000000000009,-0.010113075006069871,0.015080831164628767,823.3870816442584,0.29551100173406236,0.1796398802029265,0.02501278436450667,1626.3988726623224,0.5133449034455015,0.32581014222872634,0.04228834208501962,901.7630690019151,0.18267891009690543,-0.09251734412756116,0.016791544554333834,0.10182455014450836,0.0505738292571343,0.03177698608672922,0.004194064205102025
rank1_common_sorting,"Rank 1, common sorting",0.12,88,-0.9855200364903824,-0.009032904761654553,0.016650385106079836,26562.622430986714,0.21710505069363473,0.09180330647271204,0.021092776983821497,51169.65268278599,0.43241514291780975,0.2861653755899228,0.03475567160168256,15905.820915487364,0.20117726170208092,-0.14971798665361336,0.014406581788594002,0.1182589991746955,0.06372749291753661,0.04543939951096551,0.004790381077680258
rank1_interaction_sorting,"Rank 1, interaction sorting",0.06,94,-0.8472467384182352,-0.0039470286407549135,0.012595600724126715,1037.9372320049786,0.14162294337917594,0.07482908793558532,0.012468310665899965,2057.186911025634,0.2548460489921446,0.14698226389165034,0.02158820934373041,1026.1379907507942,0.10413542176194275,-0.05591090219256472,0.009109936133736899,0.0784297808281642,0.034047034815534005,0.01678095379697394,0.0030718985922757805
rank2_misspecification,Rank 2,0.09,91,-1.127146323887293,0.0008281649261602486,0.008730915501622853,849.2306271413913,0.15346784245114128,0.08889636954650629,0.013186615330225028,1678.6953785375952,0.2626769001462683,0.17217183392219723,0.02091145711335188,573.186578462386,0.12222311331478168,-0.07000121687303398,0.01056110214400647,0.08339475538405389,0.0283978247654366,0.01541551248854366,0.0025139575399136865
grouped_blm,Grouped BLM,0.88,12,-0.8994748296105455,-0.0008456940687430265,0.015078640689480305,38102.583670039254,3.585885774938052,0.4364806125772598,1.0731458202087771,75454.95762242137,7.431058269740977,0.46181688123358366,2.2362174267457138,46002.92757474211,4.814226738024734,-1.3563775929919826,1.3927415380641277,0.4730982157938135,0.47765482669414205,-0.36732550205033604,0.09206031076897336
