scenario,scenario_label,mean_observations,mean_workers,mean_firms,correlation_bias,correlation_bias_mcse,correlation_rmse
additive_independent,"Additive, independent",415.17,76.38,10.0,-0.14870738597727415,0.009006909095307105,0.17362374082439141
additive_common_sorting,"Additive, common sorting",379.45,73.06,10.0,-0.21195650279080788,0.007472698394934155,0.22461932237493115
rank1_independent,"Rank 1, independent",414.85,76.8,10.0,-0.17369328993759986,0.012916262964198903,0.21606830868135296
rank1_common_sorting,"Rank 1, common sorting",380.83,72.86,10.0,-0.1613717511233674,0.00917771265271691,0.1854175088945761
rank1_interaction_sorting,"Rank 1, interaction sorting",458.68,76.21,10.0,-0.19760354478982986,0.009981296967631751,0.22115642323919898
rank2_misspecification,Rank 2,434.18,74.04,10.0,-0.40366551903274905,0.012014054918041361,0.4209931891346656
grouped_blm,Grouped BLM,1148.27,232.94,18.0,-0.04935262070448674,0.00606356158860428,0.07794608588724557
